community_id,n_zones,n_qubo_zones,total_cases,mean_risk,median_risk,qubo_ratio,case_share,systemic_score
42,1,1,1687,0.5357934222714571,0.5357934222714571,1.0,0.03757740455294694,0.03757740455294694
0,29,8,5019,0.6070125784954747,0.6,0.27586206896551724,0.11179667661602886,0.030840462514766583
1,15,2,6785,0.6351660737345094,0.622360558725767,0.13333333333333333,0.1511337817971221,0.020151170906282947
3,10,2,759,0.6529869996342784,0.6531261905247845,0.2,0.016906490845101794,0.003381298169020359
5,5,1,657,0.588948206944107,0.5840571613526825,0.2,0.014634472312558471,0.0029268944625116945
4,8,1,736,0.5807900783277665,0.5712277364689606,0.125,0.01639417294070477,0.002049271617588096
6,1,0,1877,0.7492752856806306,0.7492752856806306,0.0,0.041809595937096274,0.0
2,15,0,7169,0.602489437168963,0.5982838010096712,0.0,0.15968726333140287,0.0
8,1,0,510,0.6995859737635319,0.6995859737635319,0.0,0.011360092662716622,0.0
9,1,0,798,0.6734308969726743,0.6734308969726743,0.0,0.017775203813427183,0.0
10,1,0,22,0.6685449515036234,0.6685449515036234,0.0,0.0004900432129015013,0.0
7,1,0,229,0.701322503014784,0.701322503014784,0.0,0.0051009043524747185,0.0
11,1,0,494,0.6664197238730573,0.6664197238730573,0.0,0.011003697598788257,0.0
12,1,0,114,0.6633575118845011,0.6633575118845011,0.0,0.0025393148304895976,0.0
14,1,0,172,0.6360964776469923,0.6360964776469923,0.0,0.0038312469372299195,0.0
13,1,0,1999,0.6491068203996486,0.6491068203996486,0.0,0.044527108299550054,0.0
16,1,0,692,0.6181626883260574,0.6181626883260574,0.0,0.01541408651490177,0.0
17,1,0,402,0.6151430724640667,0.6151430724640667,0.0,0.00895442598120016,0.0
18,1,0,372,0.6144798714809252,0.6144798714809252,0.0,0.008286185236334476,0.0
15,1,0,686,0.623069552911947,0.623069552911947,0.0,0.015280438365928632,0.0
20,1,0,442,0.6119244422918471,0.6119244422918471,0.0,0.009845413641021072,0.0
21,1,0,532,0.6101219350468503,0.6101219350468503,0.0,0.011850135875618123,0.0
22,1,0,652,0.6054289121170673,0.6054289121170673,0.0,0.014523098855080857,0.0
23,1,0,848,0.5966039244826234,0.5966039244826234,0.0,0.018888938388203325,0.0
24,1,0,240,0.5953828030434027,0.5953828030434027,0.0,0.005345925958925469,0.0
25,1,0,111,0.591091316112931,0.591091316112931,0.0,0.002472490756003029,0.0
26,1,0,274,0.5864725580009866,0.5864725580009866,0.0,0.006103265469773244,0.0
19,1,0,306,0.6144244059950335,0.6144244059950335,0.0,0.006816055597629973,0.0
27,1,0,7,0.5858180380919443,0.5858180380919443,0.0,0.0001559228404686595,0.0
28,1,0,34,0.5799824027830047,0.5799824027830047,0.0,0.0007573395108477748,0.0
30,1,0,92,0.5765735777278227,0.5765735777278227,0.0,0.002049271617588096,0.0
29,1,0,615,0.5792352128259298,0.5792352128259298,0.0,0.013698935269746514,0.0
32,1,0,1666,0.5661862427834674,0.5661862427834674,0.0,0.037109636031540966,0.0
33,1,0,121,0.5615791797845778,0.5615791797845778,0.0,0.0026952376709582573,0.0
34,1,0,1113,0.5610975969936342,0.5610975969936342,0.0,0.024791731634516864,0.0
31,1,0,565,0.5761244049158418,0.5761244049158418,0.0,0.012585200694970374,0.0
35,1,0,113,0.558573879191221,0.558573879191221,0.0,0.002517040138994075,0.0
36,1,0,2432,0.5552360181725894,0.5552360181725894,0.0,0.05417204971711142,0.0
38,1,0,1145,0.549127098172854,0.549127098172854,0.0,0.02550452176237359,0.0
37,1,0,680,0.5505648401501348,0.5505648401501348,0.0,0.015146790216955495,0.0
39,1,0,191,0.5472645495508134,0.5472645495508134,0.0,0.0042544660756448525,0.0
40,1,0,115,0.5437104256102968,0.5437104256102968,0.0,0.0025615895219851205,0.0
41,1,0,221,0.5436232583723706,0.5436232583723706,0.0,0.004922706820510536,0.0
43,1,0,1200,0.5338165168021194,0.5338165168021194,0.0,0.026729629794627344,0.0
