mesh_id,risk_score,n_cases,x_qubo,selected_qubo,rank_by_risk,selected_rank,lon,lat
14075_03819,0.8001383365035448,9,0,False,1,True,140.75584,38.19186
14078_03817,0.8001383365035448,9,1,True,2,True,140.78754,38.17784
14082_03825,0.7492752856806306,1877,0,False,3,True,140.8237,38.25306
14073_03828,0.7333679174592195,3,0,False,4,True,140.73774333333333,38.28577333333333
14076_03819,0.7025036601533226,300,0,False,5,True,140.76911963333333,38.194889700000004
14071_03828,0.701322503014784,229,0,False,6,True,140.71455052401748,38.28259200873362
14072_03828,0.7009315238894201,377,0,False,7,True,140.7242193899204,38.28770180371353
14075_03831,0.7004323015735777,26,1,True,8,True,140.75928846153846,38.312162307692304
14072_03830,0.7003458412588621,21,0,False,9,True,140.72514,38.30042
14102_03826,0.7000518761888294,4,0,False,10,True,141.02335,38.26512
14072_03829,0.7,1,1,True,11,True,140.72562,38.29527
14075_03818,0.7,1,0,False,12,True,140.75746,38.18899
14073_03820,0.7,1,0,False,13,True,140.73909,38.20724
14082_03824,0.7,1,0,False,14,True,140.82103,38.24822
14076_03829,0.6995859737635319,510,0,False,15,True,140.76180656862746,38.29396556862745
14077_03821,0.6927450694867897,38,0,False,16,False,140.77530473684212,38.21234894736842
14077_03819,0.6905014698253501,30,0,False,17,False,140.775588,38.195161
14078_03819,0.6888059321947696,34,1,True,18,False,140.78498676470588,38.19557705882353
14071_03827,0.6874877125093274,111,1,True,19,False,140.71561846846845,38.274588648648646
14097_03821,0.675328549195919,20,0,False,20,False,140.976567,38.217129
14083_03824,0.6734308969726743,798,0,False,21,False,140.83361408521304,38.24770093984962
14077_03823,0.6685449515036234,22,0,False,22,False,140.77902090909092,38.23571227272727
14076_03830,0.6664197238730573,494,0,False,23,False,140.76655542510122,38.308301376518216
14060_03831,0.6633575118845011,114,0,False,24,False,140.60474,38.31076
14078_03830,0.6600691682517725,5,0,False,25,False,140.78459,38.30014
14077_03829,0.6598022666326314,63,1,True,26,False,140.7771688888889,38.294895396825396
14078_03823,0.6491068203996486,1999,0,False,27,False,140.7833947323662,38.23532820410205
14076_03821,0.6464501144169376,257,0,False,28,False,140.76291249027238,38.211846653696504
14082_03832,0.6413001513937753,147,0,False,29,False,140.82087095238094,38.327858911564626
14094_03818,0.6402420888812035,15,0,False,30,False,140.943568,38.189536
14078_03824,0.6399962309515499,167,0,False,31,False,140.78505778443113,38.24048550898203
14077_03825,0.6360964776469923,172,0,False,32,False,140.77153005813955,38.2521975
14075_03820,0.6333679174592195,3,0,False,33,False,140.75175,38.20259
14072_03826,0.631452228133169,119,0,False,34,False,140.72294823529413,38.26568445378152
14101_03826,0.6309875514613539,99,0,False,35,False,141.0147888888889,38.26139232323232
14077_03832,0.6290602262599925,208,0,False,36,False,140.77821451923077,38.32883831730769
14066_03836,0.6277426209446785,104,0,False,37,False,140.66962,38.36249307692307
14100_03827,0.6274398520727544,313,1,True,38,False,141.00345169329074,38.27539913738019
14079_03822,0.623069552911947,686,0,False,39,False,140.79254785714286,38.22164858600583
14080_03827,0.622360558725767,9,0,False,40,False,140.80166666666665,38.27055
14076_03818,0.6218954571280353,28,0,False,41,False,140.76854,38.18532749999999
14078_03839,0.6182161208992725,162,0,False,42,False,140.78561,38.39184
14066_03826,0.6181626883260574,692,0,False,43,False,140.66843,38.26719
14077_03822,0.6167531269813822,6,0,False,44,False,140.77698,38.22286
14065_03837,0.6151430724640667,402,0,False,45,False,140.65877,38.37191
14077_03828,0.6144798714809252,372,0,False,46,False,140.77586647849463,38.28390314516129
14075_03829,0.6144244059950335,306,0,False,47,False,140.75642973856208,38.29226111111112
14076_03831,0.6119244422918471,442,0,False,48,False,140.7650907918552,38.3123893438914
14080_03821,0.6110917306347685,391,0,False,49,False,140.80361265984655,38.217481432225064
14074_03829,0.6101219350468503,532,0,False,50,False,140.74526112781953,38.294163383458645
14084_03835,0.6092638297203401,11,1,True,51,False,140.8475190909091,38.356669090909094
14078_03821,0.6075187401550992,183,0,False,52,False,140.78556437158468,38.218877540983605
14075_03827,0.6054289121170673,652,0,False,53,False,140.75561108895704,38.27367392638037
14083_03832,0.6035836490444825,33,0,False,54,False,140.83541909090908,38.324617272727274
14073_03824,0.600328549195919,20,1,True,55,False,140.73654,38.24862
14098_03821,0.6001383365035448,9,0,False,56,False,140.98007,38.21957
14074_03820,0.6000518761888294,4,0,False,57,False,140.74451,38.20721
14075_03830,0.6,1,1,True,58,False,140.75546,38.30504
14065_03830,0.6,1,0,False,59,False,140.65024,38.30968
14079_03823,0.6,1,0,False,60,False,140.79297,38.23249
14076_03820,0.6,1,0,False,61,False,140.76321,38.20156
14081_03822,0.5990772466500869,1571,0,False,62,False,140.81302293443665,38.22322608529599
14080_03822,0.5982838010096712,1130,0,False,63,False,140.8063622212389,38.222137176991154
14076_03825,0.5966039244826234,848,0,False,64,False,140.76442106132075,38.254698113207546
14073_03827,0.5953828030434027,240,0,False,65,False,140.73695541666666,38.272144958333335
14102_03827,0.5911610539512363,32,1,True,66,False,141.02296,38.27422
14073_03826,0.591091316112931,111,0,False,67,False,140.732538018018,38.2697245945946
14079_03821,0.5896836605805039,197,0,False,68,False,140.79765355329948,38.21515456852792
14056_03831,0.5883409874669009,403,0,False,69,False,140.56458,38.31427
14072_03827,0.5864725580009866,274,0,False,70,False,140.72599664233576,38.27410281021897
14078_03829,0.5860601269731479,21,0,False,71,False,140.78093047619046,38.2953580952381
14076_03824,0.5858180380919443,7,0,False,72,False,140.76265857142857,38.249291428571425
